epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,96.9958,0.59557,0.3284,0.87703,0.99756,1,0.995,0.8321,0.6312,0.3142,0.87377,0.000742815,0.000742815,0.000742815
58,98.7409,0.60346,0.34147,0.88646,0.99687,1,0.995,0.82409,0.67054,0.32757,0.88724,0.000726312,0.000726312,0.000726312
59,100.376,0.58535,0.32795,0.87366,0.9969,1,0.995,0.82162,0.64389,0.32443,0.88204,0.000709809,0.000709809,0.000709809
60,102.087,0.59419,0.32847,0.88255,0.99699,1,0.995,0.83876,0.62038,0.30332,0.87227,0.000693305,0.000693305,0.000693305
61,103.833,0.5965,0.32469,0.88185,0.99739,1,0.995,0.82556,0.6532,0.3203,0.89045,0.000676802,0.000676802,0.000676802
62,105.551,0.61086,0.32897,0.88575,0.9976,0.99875,0.995,0.82509,0.66098,0.31883,0.88317,0.000660299,0.000660299,0.000660299
63,107.232,0.59075,0.32262,0.87908,0.99757,0.99296,0.99,0.79734,0.71911,0.32349,0.90354,0.000643795,0.000643795,0.000643795
64,108.928,0.57894,0.31412,0.87654,0.99524,0.99296,0.99467,0.80434,0.71692,0.32642,0.89499,0.000627292,0.000627292,0.000627292
65,110.661,0.58515,0.31876,0.87353,0.99627,0.99296,0.99,0.80774,0.73423,0.33628,0.90734,0.000610789,0.000610789,0.000610789
66,112.388,0.59744,0.31585,0.87747,0.99764,1,0.995,0.82262,0.67585,0.3092,0.88459,0.000594286,0.000594286,0.000594286
67,114.071,0.54726,0.30317,0.86124,0.99002,0.99946,0.99417,0.81834,0.70755,0.31108,0.89207,0.000577782,0.000577782,0.000577782
68,115.735,0.57484,0.30279,0.86706,0.9895,0.99922,0.99465,0.82254,0.64697,0.29959,0.87517,0.000561279,0.000561279,0.000561279
69,117.42,0.56832,0.30124,0.87347,0.99642,1,0.995,0.83962,0.60987,0.28958,0.87024,0.000544776,0.000544776,0.000544776
70,119.106,0.57043,0.31037,0.88189,0.99019,0.99296,0.99479,0.81777,0.65835,0.30076,0.88476,0.000528272,0.000528272,0.000528272
71,120.772,0.56058,0.29507,0.87611,0.99826,1,0.995,0.82364,0.64432,0.30024,0.8815,0.000511769,0.000511769,0.000511769
72,122.42,0.55586,0.28933,0.87239,0.99768,1,0.995,0.82575,0.62416,0.29478,0.87668,0.000495266,0.000495266,0.000495266
73,124.111,0.56274,0.29985,0.8755,0.99754,1,0.995,0.8298,0.60923,0.28782,0.87188,0.000478762,0.000478762,0.000478762
74,125.857,0.56109,0.2982,0.87225,0.99729,1,0.995,0.81773,0.64651,0.29101,0.88267,0.000462259,0.000462259,0.000462259
75,127.543,0.55596,0.29945,0.87132,0.99717,1,0.995,0.82847,0.6221,0.28303,0.87244,0.000445756,0.000445756,0.000445756
76,129.212,0.55179,0.29313,0.87355,0.99689,1,0.995,0.82156,0.66676,0.28713,0.87853,0.000429253,0.000429253,0.000429253
77,130.923,0.54622,0.28942,0.86305,0.99743,1,0.995,0.83159,0.64945,0.29412,0.87955,0.000412749,0.000412749,0.000412749
78,132.583,0.53279,0.29198,0.86729,0.99667,1,0.995,0.83952,0.61362,0.2777,0.87097,0.000396246,0.000396246,0.000396246
79,134.255,0.5387,0.28761,0.87277,0.99704,1,0.995,0.83733,0.65078,0.28847,0.87999,0.000379743,0.000379743,0.000379743
80,135.978,0.53228,0.28941,0.85821,0.99769,1,0.995,0.83765,0.65294,0.27523,0.87642,0.000363239,0.000363239,0.000363239
81,137.625,0.54353,0.28555,0.87578,0.998,1,0.995,0.8363,0.64766,0.28525,0.87551,0.000346736,0.000346736,0.000346736
82,139.28,0.52238,0.27646,0.84722,0.99101,0.99296,0.98951,0.82361,0.67162,0.27972,0.88949,0.000330233,0.000330233,0.000330233
83,140.98,0.5305,0.28581,0.86773,0.99817,1,0.995,0.84056,0.63452,0.2728,0.87645,0.000313729,0.000313729,0.000313729
84,142.687,0.53263,0.2799,0.85293,0.991,0.99296,0.99181,0.8306,0.66668,0.2759,0.88842,0.000297226,0.000297226,0.000297226
85,144.373,0.52658,0.27237,0.86669,0.99812,1,0.995,0.84728,0.61052,0.27408,0.86855,0.000280723,0.000280723,0.000280723
86,146.127,0.51304,0.26782,0.86244,0.99802,1,0.995,0.83956,0.61126,0.27223,0.86966,0.00026422,0.00026422,0.00026422
87,147.771,0.51187,0.26662,0.86403,0.99789,1,0.995,0.84547,0.6084,0.26711,0.86712,0.000247716,0.000247716,0.000247716
88,149.409,0.51966,0.27118,0.85849,0.99791,1,0.995,0.84436,0.61259,0.27306,0.86558,0.000231213,0.000231213,0.000231213
89,151.05,0.52331,0.27522,0.86046,0.99727,1,0.995,0.83554,0.62664,0.26908,0.86961,0.00021471,0.00021471,0.00021471
90,152.706,0.51748,0.27402,0.86061,0.99595,1,0.995,0.83562,0.61918,0.26676,0.86894,0.000198206,0.000198206,0.000198206
91,155.568,0.49026,0.26041,0.83802,0.99772,1,0.995,0.82442,0.65604,0.27937,0.87484,0.000181703,0.000181703,0.000181703
92,157.312,0.51672,0.27043,0.85147,0.99683,1,0.995,0.82827,0.6434,0.27235,0.87123,0.0001652,0.0001652,0.0001652
93,158.983,0.51917,0.26701,0.86413,0.9977,1,0.995,0.84072,0.61563,0.25945,0.86454,0.000148696,0.000148696,0.000148696
94,160.711,0.49225,0.25229,0.85015,0.99889,0.9998,0.995,0.83588,0.61768,0.26437,0.86471,0.000132193,0.000132193,0.000132193
95,162.382,0.48881,0.25771,0.85098,0.99827,1,0.995,0.84269,0.6206,0.265,0.86484,0.00011569,0.00011569,0.00011569
96,164.039,0.49035,0.25988,0.8514,0.99786,1,0.995,0.84296,0.61206,0.26017,0.86381,9.91865e-05,9.91865e-05,9.91865e-05
97,165.704,0.49692,0.26053,0.84815,0.99745,1,0.995,0.84119,0.60979,0.25981,0.86406,8.26832e-05,8.26832e-05,8.26832e-05
98,167.367,0.49062,0.25955,0.85033,0.99757,1,0.995,0.84252,0.61442,0.25833,0.86498,6.61799e-05,6.61799e-05,6.61799e-05
99,169.052,0.49799,0.25624,0.86108,0.99743,1,0.995,0.83788,0.62223,0.26197,0.86677,4.96766e-05,4.96766e-05,4.96766e-05
100,170.701,0.48365,0.25851,0.8417,0.99774,1,0.995,0.83467,0.62161,0.26141,0.86634,3.31733e-05,3.31733e-05,3.31733e-05
